,LATITUDE,LONGITUDE,EXCEPTION TYPE
1089,37.360463,82.568069,WARP 31FT
1090,37.360463,82.568117,ALIGNMENT LEFT
1091,37.36046,82.568104,ALIGNMENT RIGHT
1092,37.360493,82.5685,WARP 31FT
1093,37.360484,82.568346,ALIGNMENT LEFT
1094,37.360519,82.568372,ALIGNMENT LEFT
1095,37.360482,82.568332,ALIGNMENT LEFT
1096,37.360515,82.568351,ALIGNMENT LEFT
1097,37.360487,82.56872,ALIGNMENT LEFT
1098,37.360486,82.568727,ALIGNMENT LEFT
1099,37.360484,82.568346,ALIGNMENT RIGHT
1100,37.360482,82.568332,ALIGNMENT RIGHT
1101,37.360519,82.568372,ALIGNMENT RIGHT
1102,37.360517,82.568358,ALIGNMENT RIGHT
1103,37.360487,82.56872,ALIGNMENT RIGHT
1104,37.360485,82.568733,ALIGNMENT RIGHT
1105,37.360505,82.568617,WARP 31FT
1106,37.360503,82.568631,WARP 31FT
1107,37.360484,82.568346,WARP 31FT
1108,37.360484,82.568346,WARP 62FT
1109,37.360475,82.568871,ALIGNMENT LEFT
1110,37.36047,82.568848,ALIGNMENT LEFT
1111,37.360468,82.568862,ALIGNMENT RIGHT
1112,37.360465,82.568718,ALIGNMENT RIGHT
1113,37.360481,82.568753,ALIGNMENT LEFT
1114,37.360482,82.568739,ALIGNMENT LEFT
1115,37.36048,82.568774,ALIGNMENT LEFT
1116,37.360482,82.568746,ALIGNMENT RIGHT
1117,37.360482,82.568746,ALIGNMENT RIGHT
1118,37.360482,82.568739,ALIGNMENT RIGHT
1119,37.36048,82.568767,ALIGNMENT RIGHT
1120,37.36048,82.56876,ALIGNMENT RIGHT
1121,37.360485,82.568691,WARP 31FT
1122,37.360467,82.568877,ALIGNMENT LEFT
1123,37.360466,82.568884,ALIGNMENT LEFT
1124,37.360467,82.568877,ALIGNMENT RIGHT
1125,37.360465,82.568898,ALIGNMENT RIGHT
1126,37.593148,82.501248,ALIGNMENT LEFT
1127,37.59314,82.501238,ALIGNMENT LEFT
1128,37.593144,82.501243,ALIGNMENT RIGHT
1129,37.59314,82.501238,ALIGNMENT RIGHT
1130,37.593042,82.501102,ALIGNMENT LEFT
1131,37.593065,82.501122,ALIGNMENT RIGHT
1132,37.593029,82.501075,ALIGNMENT RIGHT
1133,37.593078,82.501134,WIDE GAGE
1134,37.357884,82.571563,ALIGNMENT LEFT
1135,37.357884,82.571563,ALIGNMENT LEFT
1136,37.357875,82.571581,ALIGNMENT LEFT
1137,37.357875,82.571581,ALIGNMENT LEFT
1138,37.357884,82.571563,ALIGNMENT RIGHT
